Event ID,Type,Category,Level
256,Query received,Lookup,Informational
257,Response success,Lookup,Informational
258,Response failure,Lookup,Error
259,Ignored query,Lookup,Error
260,Query out,Recursive query,Informational
261,Response in,Recursive query,Informational
262,Recursive query timeout,Recursive query,Error
263,Update in,Dynamic update,Informational
264,Update response,Dynamic update,Informational
265,IXFR request out,Zone XFR,Informational
266,IXFR request in,Zone XFR,Informational
267,IXFR response out,Zone xfr,Informational
268,IXFR response in,Zone xfr,Informational
269,AXFR request out,Zone XFR,Informational
270,AXFR request in,Zone XFR,Informational
271,AXFR response out,Zone XFR,Informational
272,AXFR response in,Zone XFR,Informational
273,XFR notification in,Zone XFR,Informational
274,XFR notification out,Zone XFR,Informational
275,XFR notify ACK in,Zone XFR,Informational
276,XFR notify ACK out,Zone XFR,Informational
277,Update forward,Dynamic update,Informational
278,Update response in,Dynamic update,Informational
279,Internal lookup CNAME,Lookup,Informational
280,Internal lookup additional,Lookup,Informational
